Date,Open,High,Low,Close,Adj Close,Volume,Equity Return,Market Return
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,155.0936737060547,22622100,0.0,0.0
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,153.16250610351562,21116200,-0.0124516207295415,-0.0070598705620453
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,153.5583953857422,20813700,0.0025847662871159,0.0035333728907271
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,152.15826416015625,21634100,-0.0091179073737308,-0.0028032386528962
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,154.5819091796875,27746500,0.015928448138579,0.0049024513689781
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,156.51309204101562,21385000,0.0124929422309263,0.0066552626054889
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,155.7888946533203,20725900,-0.0046270722675744,-0.0028551786896625
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,157.66217041015625,21626500,0.0120244498878085,0.0069762152525698
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,156.55174255371094,23477400,-0.007043083661455,-0.0015145327728022
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,157.5655975341797,21417900,0.0064761654129841,0.0018701968845122
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,160.45272827148438,23865400,0.0183233572714272,0.0083665530264682
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,161.3507537841797,34371700,0.0055968229544582,0.0038621622485013
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,160.77134704589844,29517200,-0.0035909763338091,-0.0026519776473655
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,159.99888610839844,24138800,-0.0048047177043274,0.000289076071118
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,160.98379516601562,19680800,0.0061557244651686,0.0011409766124783
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,159.36160278320312,24918100,-0.0100767433215225,-0.0090421609742074
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,156.69659423828125,32078100,-0.0167230279965706,-0.0157307116591823
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,159.7671661376953,24899900,0.0195956518030302,0.010053584595046
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,162.25840759277344,34754500,0.0155929501367699,-0.0008668741908683
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,166.83531188964844,51597500,0.0282075016313598,0.0031343587926053
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,164.37301635742188,36142700,-0.0147588391470458,-0.0177058203755262
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,168.38023376464844,30107000,0.0243788031395191,0.0072546138923517
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,173.92274475097656,36433300,0.0329166367239701,0.0149804141640821
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,173.7103271484375,39186300,-0.0012213330858088,0.0112505958978537
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,177.31199645996094,27751400,0.0207337662109505,0.0033256728767856
2020-02-07,182.8500061035156,185.6300048828125,182.47999572753903,183.88999938964844,177.56304931640625,33529100,0.0014158819564247,-0.0054008536727301
2020-02-10,183.5800018310547,188.83999633789065,183.25,188.6999969482422,182.2075653076172,35844300,0.0261569961154175,0.0073263978048905
