contractSymbol,strike,bid,ask,volume,expirationDate,dte,CALL,mark
AAPL231110C00050000,50.0,126.2,127.25,1.0,2023-11-11,0.0136986301369863,True,126.725
AAPL231110C00060000,60.0,116.2,117.25,1.0,2023-11-11,0.0136986301369863,True,116.725
AAPL231110C00090000,90.0,86.2,87.25,2.0,2023-11-11,0.0136986301369863,True,86.725
AAPL231110C00100000,100.0,76.25,77.3,7.0,2023-11-11,0.0136986301369863,True,76.775
AAPL231110C00105000,105.0,71.25,72.3,1.0,2023-11-11,0.0136986301369863,True,71.775
AAPL231110C00110000,110.0,66.4,67.3,80.0,2023-11-11,0.0136986301369863,True,66.85
AAPL231110C00115000,115.0,61.25,62.3,3.0,2023-11-11,0.0136986301369863,True,61.775
AAPL231110C00120000,120.0,56.25,57.3,2.0,2023-11-11,0.0136986301369863,True,56.775
AAPL231110C00125000,125.0,51.25,52.3,2.0,2023-11-11,0.0136986301369863,True,51.775
AAPL231110C00130000,130.0,46.25,47.3,4.0,2023-11-11,0.0136986301369863,True,46.775
AAPL231110C00135000,135.0,41.4,42.3,4.0,2023-11-11,0.0136986301369863,True,41.849999999999994
AAPL231110C00140000,140.0,36.4,37.35,23.0,2023-11-11,0.0136986301369863,True,36.875
AAPL231110C00144000,144.0,,,,2023-11-11,0.0136986301369863,True,
AAPL231110C00145000,145.0,31.3,32.35,20.0,2023-11-11,0.0136986301369863,True,31.825000000000003
AAPL231110C00146000,146.0,30.35,31.3,25.0,2023-11-11,0.0136986301369863,True,30.825000000000003
AAPL231110C00147000,147.0,29.35,30.35,1.0,2023-11-11,0.0136986301369863,True,29.85
AAPL231110C00148000,148.0,28.35,29.35,3.0,2023-11-11,0.0136986301369863,True,28.85
AAPL231110C00149000,149.0,27.25,28.35,17.0,2023-11-11,0.0136986301369863,True,27.8
AAPL231110C00150000,150.0,26.25,27.35,93.0,2023-11-11,0.0136986301369863,True,26.8
AAPL231110C00152500,152.5,23.75,24.85,12.0,2023-11-11,0.0136986301369863,True,24.3
AAPL231110C00155000,155.0,21.25,22.4,107.0,2023-11-11,0.0136986301369863,True,21.825
AAPL231110C00157500,157.5,18.8,19.9,18.0,2023-11-11,0.0136986301369863,True,19.35
AAPL231110C00160000,160.0,16.3,17.4,110.0,2023-11-11,0.0136986301369863,True,16.85
AAPL231110C00162500,162.5,14.15,14.55,78.0,2023-11-11,0.0136986301369863,True,14.350000000000001
AAPL231110C00165000,165.0,11.75,12.1,990.0,2023-11-11,0.0136986301369863,True,11.925
AAPL231110C00167500,167.5,9.25,9.65,538.0,2023-11-11,0.0136986301369863,True,9.45
AAPL231110C00170000,170.0,7.0,7.3,2959.0,2023-11-11,0.0136986301369863,True,7.15
AAPL231110C00172500,172.5,4.85,5.05,4435.0,2023-11-11,0.0136986301369863,True,4.949999999999999
AAPL231110C00175000,175.0,2.92,3.1,43796.0,2023-11-11,0.0136986301369863,True,3.01
AAPL231110C00177500,177.5,1.53,1.57,66736.0,2023-11-11,0.0136986301369863,True,1.55
AAPL231110C00180000,180.0,0.62,0.67,56873.0,2023-11-11,0.0136986301369863,True,0.645
AAPL231110C00182500,182.5,0.24,0.25,23962.0,2023-11-11,0.0136986301369863,True,0.245
AAPL231110C00185000,185.0,0.09,0.11,22915.0,2023-11-11,0.0136986301369863,True,0.1
AAPL231110C00187500,187.5,0.05,0.06,7828.0,2023-11-11,0.0136986301369863,True,0.055
AAPL231110C00190000,190.0,0.03,0.04,6898.0,2023-11-11,0.0136986301369863,True,0.035
AAPL231110C00192500,192.5,0.01,0.03,4348.0,2023-11-11,0.0136986301369863,True,0.02
AAPL231110C00195000,195.0,0.01,0.02,1720.0,2023-11-11,0.0136986301369863,True,0.015
AAPL231110C00197500,197.5,0.0,0.02,310.0,2023-11-11,0.0136986301369863,True,0.01
AAPL231110C00200000,200.0,0.0,0.01,752.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00202500,202.5,0.0,0.01,52.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00205000,205.0,0.0,0.01,23.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00207500,207.5,0.0,0.02,171.0,2023-11-11,0.0136986301369863,True,0.01
AAPL231110C00210000,210.0,0.0,0.01,4.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00215000,215.0,0.0,0.01,111.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00217500,217.5,0.0,0.05,2.0,2023-11-11,0.0136986301369863,True,0.025
AAPL231110C00220000,220.0,0.0,0.01,1.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00222500,222.5,0.0,0.01,,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00225000,225.0,0.0,0.01,1.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00230000,230.0,0.0,0.05,1.0,2023-11-11,0.0136986301369863,True,0.025
AAPL231110C00235000,235.0,0.0,0.01,1.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00250000,250.0,0.0,0.01,,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00255000,255.0,0.0,0.01,1.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110C00265000,265.0,0.0,0.01,3.0,2023-11-11,0.0136986301369863,True,0.005
AAPL231110P00050000,50.0,0.0,0.05,,2023-11-11,0.0136986301369863,False,0.025
AAPL231110P00080000,80.0,0.0,0.01,,2023-11-11,0.0136986301369863,False,0.005
AAPL231110P00095000,95.0,0.0,0.05,1.0,2023-11-11,0.0136986301369863,False,0.025
AAPL231110P00100000,100.0,0.0,0.05,14.0,2023-11-11,0.0136986301369863,False,0.025
AAPL231110P00105000,105.0,0.0,0.05,1.0,2023-11-11,0.0136986301369863,False,0.025
AAPL231110P00110000,110.0,0.0,0.01,2.0,2023-11-11,0.0136986301369863,False,0.005
AAPL231110P00115000,115.0,0.0,0.03,1.0,2023-11-11,0.0136986301369863,False,0.015
AAPL231110P00120000,120.0,0.0,0.03,7.0,2023-11-11,0.0136986301369863,False,0.015
AAPL231110P00125000,125.0,0.0,0.01,73.0,2023-11-11,0.0136986301369863,False,0.005
AAPL231110P00130000,130.0,0.0,0.02,38.0,2023-11-11,0.0136986301369863,False,0.01
AAPL231110P00135000,135.0,0.0,0.03,686.0,2023-11-11,0.0136986301369863,False,0.015
AAPL231110P00138000,138.0,,,,2023-11-11,0.0136986301369863,False,
AAPL231110P00139000,139.0,,,,2023-11-11,0.0136986301369863,False,
AAPL231110P00140000,140.0,0.01,0.04,538.0,2023-11-11,0.0136986301369863,False,0.025
AAPL231110P00141000,141.0,,,,2023-11-11,0.0136986301369863,False,
AAPL231110P00143000,143.0,,,,2023-11-11,0.0136986301369863,False,
AAPL231110P00144000,144.0,,,,2023-11-11,0.0136986301369863,False,
